,date,account_value
757,2021-01-05,1437858.9422497926
758,2021-01-06,1461005.798743798
759,2021-01-07,1496732.4705472533
760,2021-01-08,1491853.4331308447
761,2021-01-11,1500710.11913901
762,2021-01-12,1507424.6185687205
763,2021-01-13,1497072.806320785
764,2021-01-14,1504861.566206331
765,2021-01-15,1490056.6105735966
766,2021-01-19,1510562.2260468593
767,2021-01-20,1509815.191337852
768,2021-01-21,1517625.0832522197
769,2021-01-22,1506132.1429150386
770,2021-01-25,1505011.4166300579
771,2021-01-26,1488519.099830894
772,2021-01-27,1442538.8196776195
773,2021-01-28,1451120.0850259128
774,2021-01-29,1419673.9466559081
775,2021-02-01,1438382.1235657774
776,2021-02-02,1461320.1989555175
777,2021-02-03,1455461.3053008944
778,2021-02-04,1463599.3294565836
779,2021-02-05,1460131.7427709643
780,2021-02-08,1488992.0405710398
781,2021-02-09,1489133.2388721835
782,2021-02-10,1505402.9217358616
783,2021-02-11,1516954.4073415475
784,2021-02-12,1516535.1346520775
785,2021-02-16,1513919.9827715727
786,2021-02-17,1506200.0981378371
787,2021-02-18,1501624.7584100282
788,2021-02-19,1501211.6573766354
789,2021-02-22,1492967.0524837177
790,2021-02-23,1492935.428564799
791,2021-02-24,1513705.4703485076
792,2021-02-25,1476234.1430327175
793,2021-02-26,1487426.9806080319
794,2021-03-01,1512058.2692164131
795,2021-03-02,1502501.949609328
796,2021-03-03,1485253.8310883776
797,2021-03-04,1467984.9543985487
798,2021-03-05,1514111.0818418623
799,2021-03-08,1517207.5205185192
800,2021-03-09,1531554.4539356106
801,2021-03-10,1543376.999097696
802,2021-03-11,1562526.6233630588
803,2021-03-12,1575510.2334285437
804,2021-03-15,1584065.5543647076
805,2021-03-16,1580806.476481776
806,2021-03-17,1581709.249560969
807,2021-03-18,1588826.4518618095
808,2021-03-19,1608175.7895620067
809,2021-03-22,1618542.364143153
810,2021-03-23,1603442.0030560864
811,2021-03-24,1598744.0642657687
812,2021-03-25,1614137.4385800236
813,2021-03-26,1646325.200737767
814,2021-03-29,1644691.4762996775
815,2021-03-30,1640600.6681457928
816,2021-03-31,1645195.6531299464
817,2021-04-01,1651504.11737765
818,2021-04-05,1674520.0808328502
819,2021-04-06,1663306.9343978756
820,2021-04-07,1660800.6806653487
821,2021-04-08,1669487.1123844269
822,2021-04-09,1698122.806003331
823,2021-04-12,1715418.1612432133
824,2021-04-13,1714843.7032354008
825,2021-04-14,1705229.6532886883
